,title,street,city,country_code,address_text,marker_icon,workplace_type,company_name,company_url,company_size,experience_level,latitude,longitude,published_at,remote_interview,id,employment_types,company_logo_url,skills,remote,min_salary,max_salary,b2b,permament,mandate_contract,react,angular,vue,sum_of_skill_levels
0,Frontend Engineer,Pawia 23,Kraków,PL,"Pawia 23, Kraków",javascript,partly_remote,Schibsted,http://www.schibsted.pl/,250,mid,50.0730124,19.945507,2022-02-19T09:00:22.274Z,True,schibsted-senior-frontend-developer-23cde617-f13a-491e-ba36-bbab4bab0018,"[{""type"": ""b2b"", ""salary"": {""from"": 14500, ""to"": 17000, ""currency"": ""pln""}}, {""type"": ""permanent"", ""salary"": {""from"": 12000, ""to"": 14000, ""currency"": ""pln""}}]",https://bucket.justjoin.it/offers/company_logos/thumb/5697a370f8309242e61567f80bd5c06e55915325.png?1612344279,"[{""name"": ""ReactJS"", ""level"": 3}, {""name"": ""JavaScript"", ""level"": 3}]",False,12000.0,14000.0,1,1,0,1,0,0,6
1,Frontend Developer,-,Kraków,PL,"-, Kraków",javascript,remote,WLOG Solutions Sp. z o.o.,https://www.wlogsolutions.com/,15-20,mid,50.0646501,19.9449799,2022-02-19T09:00:22.274Z,True,wlog-solutions-sp-z-o-o-frontend-developer-krakow,"[{""type"": ""b2b"", ""salary"": {""from"": 16000, ""to"": 21000, ""currency"": ""pln""}}]",https://bucket.justjoin.it/offers/company_logos/thumb/5b99eebd8892689812139a0c3c2d47fb3a19b86b.png?1643097083,"[{""name"": ""React"", ""level"": 3}, {""name"": ""TypeScript"", ""level"": 3}, {""name"": ""Angular"", ""level"": 3}]",True,16000.0,21000.0,1,0,0,1,1,0,9
2,Frontend Developer,Lewakowskiego 1a/19,Rzeszów,PL,"Lewakowskiego 1a/19, Rzeszów",javascript,remote,Develtio,http://www.develtio.com,45+,mid,50.0449889,21.9804598,2022-02-19T08:00:19.882Z,True,develtio-frontend-developer,"[{""type"": ""b2b"", ""salary"": {""from"": 17000, ""to"": 20000, ""currency"": ""pln""}}]",https://bucket.justjoin.it/offers/company_logos/thumb/9368435a169bfc8e29eb0749fa51899f86686dd3.jpg?1642078474,"[{""name"": ""Front-End"", ""level"": 3}, {""name"": ""TypeScript"", ""level"": 3}, {""name"": ""HTML"", ""level"": 5}]",True,17000.0,20000.0,1,0,0,0,0,0,11
3,Senior Frontend Developer,Zabłocie 43A,Kraków,PL,"Zabłocie 43A, Kraków",javascript,remote,Codibly,http://www.codibly.com,85+,senior,50.0490744,19.9665062,2022-02-18T23:00:14.082Z,True,codibly-senior-frontend-developer-bydgoszcz,"[{""type"": ""b2b"", ""salary"": {""from"": 17640, ""to"": 25536, ""currency"": ""pln""}}]",https://bucket.justjoin.it/offers/company_logos/thumb/062b7fb53753f689ac5578acfc4c087f437eaf0b.png?1630311194,"[{""name"": ""TypeScript"", ""level"": 4}, {""name"": ""React"", ""level"": 4}, {""name"": ""JavaScript"", ""level"": 4}]",True,17640.0,25536.0,1,0,0,1,0,0,12
4,Frontend Developer [React.js/Rails],Powązkowska 44C,Warszawa,PL,"Powązkowska 44C, Warszawa",javascript,remote,Medical Tribune Polska,http://webinary.online,60-80,mid,52.2587737,20.963044,2022-02-18T17:00:20.400Z,True,medical-tribune-polska-javascript-react-js,"[{""type"": ""b2b"", ""salary"": {""from"": 9000, ""to"": 18000, ""currency"": ""pln""}}]",https://bucket.justjoin.it/offers/company_logos/thumb/e96cc5b6b963af9a9135ba6bf071ffba2c92e72f.png?1644236180,"[{""name"": ""Bootstrap 4"", ""level"": 3}, {""name"": ""ReactJS"", ""level"": 3}, {""name"": ""JavaScript"", ""level"": 3}]",True,9000.0,18000.0,1,0,0,1,0,0,9
5,Senior Frontend (React) Engineer,Olszańska 7,Kraków,PL,"Olszańska 7, Kraków",javascript,remote,Svitla Systems,https://svitla.com/,500+,senior,50.0646501,19.9449799,2022-02-18T17:00:20.400Z,True,svitla-systems-senior-frontend-react-engineer,"[{""type"": ""b2b"", ""salary"": {""from"": 21000, ""to"": 25000, ""currency"": ""pln""}}]",https://bucket.justjoin.it/offers/company_logos/thumb/829ce8b35e99e9738364be9c6e62193e3bde997f.png?1637615680,"[{""name"": ""unit tests"", ""level"": 4}, {""name"": ""JavaScript"", ""level"": 4}, {""name"": ""React"", ""level"": 4}]",True,21000.0,25000.0,1,0,0,1,0,0,12
6,Senior Frontend Developer,Na Zjeździe 11,Kraków,PL,"Na Zjeździe 11, Kraków",javascript,partly_remote,Cloudinary,https://cloudinary.com/,400,senior,50.0468539,19.9555789,2022-02-18T16:00:14.605Z,True,cloudinary-senior-frontend-developer,"[{""type"": ""b2b"", ""salary"": {""from"": 24000, ""to"": 33000, ""currency"": ""pln""}}]",https://bucket.justjoin.it/offers/company_logos/thumb/aa95444e38984d099873c947d9807d0475277cd5.png?1643816124,"[{""name"": ""HTML5"", ""level"": 4}, {""name"": ""JavaScript"", ""level"": 4}, {""name"": ""TypeScript"", ""level"": 4}]",False,24000.0,33000.0,1,0,0,0,0,0,12
7,Junior Frontend Developer,Grabiszyńska 251A,Wrocław,PL,"Grabiszyńska 251A, Wrocław",javascript,remote,Infermedica,http://infermedica.com,180,junior,51.096747,16.985475,2022-02-18T16:00:14.605Z,True,infermedica-junior-frontend-developer-wroclaw,"[{""type"": ""b2b"", ""salary"": {""from"": 5500, ""to"": 9000, ""currency"": ""pln""}}]",https://bucket.justjoin.it/offers/company_logos/thumb/607c6a0a5f519d4cca3418292f0ebdb0abfb720a.png?1643990700,"[{""name"": ""Vue"", ""level"": 2}, {""name"": ""JavaScript"", ""level"": 2}, {""name"": ""English"", ""level"": 3}]",True,5500.0,9000.0,1,0,0,0,0,1,7
8,Frontend Developer,Globusowa 5,Warszawa,PL,"Globusowa 5, Warszawa",javascript,remote,IKOL System,https://ikol.pl/,>30,mid,52.2074475,20.9150399,2022-02-18T16:00:14.605Z,False,ikol-system-frontend-developer,"[{""type"": ""b2b"", ""salary"": {""from"": 5000, ""to"": 10000, ""currency"": ""pln""}}]",https://bucket.justjoin.it/offers/company_logos/thumb/e0257dcc24af7a8f7de0fbd1bcf66e2ac3bcd636.png?1637925040,"[{""name"": ""Vue.js"", ""level"": 3}, {""name"": ""CSS"", ""level"": 3}, {""name"": ""HTML"", ""level"": 3}]",True,5000.0,10000.0,1,0,0,0,0,1,9
9,Frontend/ User Interface Developer,Pawia 7,Kraków,PL,"Pawia 7, Kraków",javascript,partly_remote,Hitachi Energy,https://www.hitachienergy.com/,<38.000,senior,50.0694091,19.9453648,2022-02-18T16:00:14.605Z,True,hitachi-energy-frontend-user-interface-developer,"[{""type"": ""permanent"", ""salary"": {""from"": 13000, ""to"": 18000, ""currency"": ""pln""}}]",https://bucket.justjoin.it/offers/company_logos/thumb/fc41512c9767e19d105a215dacaa477f4a310b4c.png?1643642725,"[{""name"": ""React"", ""level"": 3}]",False,13000.0,18000.0,0,1,0,1,0,0,3
10,Frontend Developer,Kazimierza Wielkiego 1,Wrocław,PL,"Kazimierza Wielkiego 1, Wrocław",javascript,remote,Whoohoo Poland,https://www.whoohoo.pl/,10-25,mid,51.111337,17.02656,2022-02-18T16:00:14.605Z,True,whoohoo-poland-frontend-developer-b494b288-fa5f-472e-a474-f32c2691b7e9,"[{""type"": ""b2b"", ""salary"": {""from"": 13000, ""to"": 18000, ""currency"": ""pln""}}, {""type"": ""permanent"", ""salary"": {""from"": 11000, ""to"": 16000, ""currency"": ""pln""}}]",https://bucket.justjoin.it/offers/company_logos/thumb/43c644d53bcc86f7768dbe355b6f7491c9142ba9.png?1643642671,"[{""name"": ""React"", ""level"": 4}, {""name"": ""Angular"", ""level"": 4}, {""name"": ""Vue.js"", ""level"": 4}]",True,11000.0,16000.0,1,1,0,1,1,1,12
11,Junior Frontend Developer,3 Maja 54,Sopot,PL,"3 Maja 54, Sopot",javascript,partly_remote,VB Polska Sp. z o.o.,https://vbpolska.pl/pl/o-nas,90,junior,54.4354238,18.5626079,2022-02-18T16:00:14.605Z,False,vb-polska-sp-z-o-o-junior-frontend-developer,"[{""type"": ""permanent"", ""salary"": {""from"": 7000, ""to"": 8000, ""currency"": ""pln""}}]",https://bucket.justjoin.it/offers/company_logos/thumb/9c57ac76a872c65335c0e07cad296c4ca3c0fde7.png?1644852751,"[{""name"": ""CSS"", ""level"": 2}, {""name"": ""JavaScript"", ""level"": 2}, {""name"": ""HTML5"", ""level"": 3}]",False,7000.0,8000.0,0,1,0,0,0,0,7
12,Remote Frontend JavaScript Developer,Centrum,Kraków,PL,"Centrum, Kraków",javascript,remote,Ideamotive,http://ideamotive.co,20+,mid,50.0550498,19.9259309,2022-02-18T16:00:14.605Z,True,ideamotive-remote-frontend-javascript-developer,"[{""type"": ""b2b"", ""salary"": {""from"": 15000, ""to"": 18000, ""currency"": ""pln""}}]",https://bucket.justjoin.it/offers/company_logos/thumb/32faff332c8322f41b689a275c42a95453636a87.png?1644854370,"[{""name"": ""CSS"", ""level"": 3}, {""name"": ""HTML"", ""level"": 3}, {""name"": ""JavaScript"", ""level"": 3}]",True,15000.0,18000.0,1,0,0,0,0,0,9
13,Frontend Engineer (Angular),Bukowińska 22a,Warszawa,PL,"Bukowińska 22a, Warszawa",javascript,remote,Addepto,https://www.addepto.com/,25-30,senior,52.2296756,21.0122287,2022-02-18T16:00:14.605Z,True,addepto-frontend-engineer-angular-warszawa,"[{""type"": ""b2b"", ""salary"": {""from"": 16800, ""to"": 23520, ""currency"": ""pln""}}]",https://bucket.justjoin.it/offers/company_logos/thumb/fa60399d6b829a6c9c7e8d09eca3c4fe7ab99f8c.png?1644335812,"[{""name"": ""JavaScript"", ""level"": 3}, {""name"": ""REST"", ""level"": 4}, {""name"": ""Angular"", ""level"": 4}]",True,16800.0,23520.0,1,0,0,0,1,0,11
14,Senior Frontend Engineer,Przeskok 2,Warszawa,PL,"Przeskok 2, Warszawa",javascript,partly_remote,Snowflake,https://www.snowflake.com/,3000+,senior,52.2332604,21.0140928,2022-02-18T15:00:15.371Z,True,snowflake-senior-frontend-engineer,"[{""type"": ""permanent"", ""salary"": {""from"": 25000, ""to"": 50000, ""currency"": ""pln""}}]",https://bucket.justjoin.it/offers/company_logos/thumb/c861fb7e020197c554febe22c5b75df162fb6e0f.png?1621240583,"[{""name"": ""JavaScript"", ""level"": 3}, {""name"": ""TypeScript"", ""level"": 5}, {""name"": ""React"", ""level"": 5}]",False,25000.0,50000.0,0,1,0,1,0,0,13
15,Frontend Developer JS/Vue.js ,Centrum,Wrocław,PL,"Centrum, Wrocław",javascript,remote,Fairbox,https://fairbox.biz/,<200,mid,51.1106992,17.0323662,2022-02-18T15:00:15.371Z,True,fairbox-frontend-developer-js-vue-js-zdalnie-wroclaw,"[{""type"": ""b2b"", ""salary"": {""from"": 8000, ""to"": 14000, ""currency"": ""pln""}}]",https://bucket.justjoin.it/offers/company_logos/thumb/661be860df75f6a8ebe2aa646c4270513463ab42.jpg?1641906457,"[{""name"": ""CSS3"", ""level"": 4}, {""name"": ""HTML5"", ""level"": 4}, {""name"": ""JavaScript"", ""level"": 4}]",True,8000.0,14000.0,1,0,0,0,0,1,12
16,Mid Frontend Developer,Na Uboczu 8/87,Warszawa,PL,"Na Uboczu 8/87, Warszawa",javascript,remote,SoftwareMill,https://softwaremill.com,77,mid,52.140466,21.0498341,2022-02-18T15:00:15.371Z,True,softwaremill-mid-frontend-developer,"[{""type"": ""b2b"", ""salary"": {""from"": 11500, ""to"": 16500, ""currency"": ""pln""}}]",https://bucket.justjoin.it/offers/company_logos/thumb/41e980ff7da8e26d506eeb465524457420e8a91c.jpg?1626091425,"[{""name"": ""React"", ""level"": 3}, {""name"": ""TypeScript"", ""level"": 3}, {""name"": ""JavaScript"", ""level"": 3}]",True,11500.0,16500.0,1,0,0,1,0,0,9
17,Senior Frontend Developer,Lubostroń 1,Kraków,PL,"Lubostroń 1, Kraków",javascript,remote,Kitopi,http://kitopi.com,90,senior,50.015284,19.902203,2022-02-18T15:00:15.371Z,True,kitopi-senior-frontend-developer,"[{""type"": ""b2b"", ""salary"": {""from"": 18000, ""to"": 26000, ""currency"": ""pln""}}, {""type"": ""permanent"", ""salary"": {""from"": 15000, ""to"": 21600, ""currency"": ""pln""}}]",https://bucket.justjoin.it/offers/company_logos/thumb/5bb43ecf9a96a2d6cfaee80c516cf8e7c52f520e.jpeg?1602671419,"[{""name"": ""TypeScript"", ""level"": 4}, {""name"": ""JavaScript"", ""level"": 4}, {""name"": ""React"", ""level"": 4}]",True,15000.0,21600.0,1,1,0,1,0,0,12
18,Senior Frontend Developer,Na Uboczu 8/87,Warszawa,PL,"Na Uboczu 8/87, Warszawa",javascript,remote,SoftwareMill,https://softwaremill.com,77,senior,52.140466,21.0498341,2022-02-18T15:00:15.371Z,True,softwaremill-senior-frontend-developer,"[{""type"": ""b2b"", ""salary"": {""from"": 17500, ""to"": 25500, ""currency"": ""pln""}}]",https://bucket.justjoin.it/offers/company_logos/thumb/742346f5055f0db0fe84fa3e724f1c96fbbbffcb.jpg?1605257501,"[{""name"": ""React"", ""level"": 3}, {""name"": ""TypeScript"", ""level"": 3}, {""name"": ""JavaScript"", ""level"": 4}]",True,17500.0,25500.0,1,0,0,1,0,0,10
19,Frontend Developer,Centrum,Warszawa,PL,"Centrum, Warszawa",javascript,remote,Benefit Systems,https://www.benefitsystems.pl/,500+,senior,52.2302091,21.0113922,2022-02-18T15:00:15.371Z,True,benefit-systems-frontend-developer-warszawa,"[{""type"": ""b2b"", ""salary"": {""from"": 15000, ""to"": 18000, ""currency"": ""pln""}}, {""type"": ""permanent"", ""salary"": {""from"": 13000, ""to"": 16000, ""currency"": ""pln""}}]",https://bucket.justjoin.it/offers/company_logos/thumb/2b9aefaed397a16766654f01c4e32de342f5a81c.jpeg?1643122145,"[{""name"": ""Git"", ""level"": 3}, {""name"": ""ReactJS"", ""level"": 4}, {""name"": ""TypeScript"", ""level"": 4}]",True,13000.0,16000.0,1,1,0,1,0,0,11
20,Frontend Developer,Centrum,Kraków,PL,"Centrum, Kraków",javascript,remote,Benefit Systems,https://www.benefitsystems.pl/,500+,senior,50.0761852,19.9587208,2022-02-18T15:00:15.371Z,True,benefit-systems-frontend-developer,"[{""type"": ""b2b"", ""salary"": {""from"": 15000, ""to"": 18000, ""currency"": ""pln""}}, {""type"": ""permanent"", ""salary"": {""from"": 13000, ""to"": 16000, ""currency"": ""pln""}}]",https://bucket.justjoin.it/offers/company_logos/thumb/e5bc2556ea3f3a32caaa545f9faa9f7f50773ed9.jpeg?1643122120,"[{""name"": ""Git"", ""level"": 3}, {""name"": ""ReactJS"", ""level"": 4}, {""name"": ""TypeScript"", ""level"": 4}]",True,13000.0,16000.0,1,1,0,1,0,0,11
